"id","itemid","modification","slotid"
21071,64,"FTAC Hold",16
21072,64,"FTAC Stead",16
21073,64,"SUR-160",16
20851,62,"B66 Pad",6
20524,61,"Kastovia DX90",1
20525,61,"Tempus GH50",1
20643,31,".300 Mag Explosive",11
20644,63,"1mW Quick Fire Laser",4
20645,63,"Accu-Shot 5mW Laser",4
20646,63,"VLK LZR 7mW",4
20810,62,"Demo IMP-44 Grip",8
20526,61,"TY-LR8",1
20527,61,"Lockshot KT85",1
20528,61,"Bore-490",1
20529,61,"Sakin Tread-40",1
20530,61,"GL Clear Breach",1
20531,61,"TA HUL-Breach KL",1
20532,61,"FR Titan Silencer",1
20533,61,"SA Leveler 55",1
20534,61,"Slimline Pro",5
20535,61,"SZ Mini",5
20536,61,"Cronen Mini Red Dot",5
20537,61,"Cronen Mini Pro",5
20538,61,"SZ Sigma-IV Optic",5
20539,61,"SZ Minitac-40",5
20540,61,"XRK On-Point Optic",5
20541,61,"DF105 Reflex Sight",5
20542,61,"Monocle CT90",5
20543,61,"Corvus SOL-76",5
20544,61,"SZ Recharge-DX",5
20545,61,"SZ SRO-7",5
20546,61,"Corio RE-X Pro",5
20547,61,"Corio Enforcer Optic",5
20548,61,"SZ Lonewolf Optic",5
20549,61,"Kazan-Holo",5
20550,61,"Corvus Downrange-00",5
20551,61,"SZ Holotherm",5
20552,61,"XTEN Angel-40",5
20553,61,"VLK 4.0 Optic",5
20554,61,"Schlager 3.4x",5
20555,61,"Forge Tac Delta 4",5
20556,61,"Cronen Zero-P Optic",5
20557,61,"SZ Bullseye Optic",5
20558,61,"SZ Aggressor-IR Optic",5
20559,61,"Schlager Night View",5
20560,61,"VX350 Thermal Optic",5
20561,61,"Teplo-OP3 Scope",5
20562,61,"DR582 Hybrid Sight",5
20178,56,"SZ Mini",5
20563,61,"Hybrid Firepoint",5
20564,61,"SZ Vortex-90",5
20565,61,"BPZ40 Hybrid",5
20566,61,"Thermo-Optic X9",5
20567,61,"Teplo Clear Shot",5
20568,61,"FTAC Charlie7",5
20569,61,"HMW-20 Optic",5
20570,61,"Luca Bandera Scope",5
20940,65,"SA Comp Barrel",2
20941,65,"SA Longshot-50",2
20794,62,"FTAC Charlie7",5
20599,61,"Schlager Tango",8
20600,61,"VX Pineapple",8
20601,61,"OP-X9 Foregrip",8
20602,61,"Operator Foregrip",8
20603,61,"TV Wrecker Grip",8
20604,61,"Bruen Tilt Grip",8
20605,61,"Cronen Grooveshot Grip",8
20606,61,"Bruen Warrior Grip",8
20607,61,"Bipod V9 Grip",8
20608,61,"Level Aim Bipod",8
20609,61,"Cornerstone Bipod",8
20610,61,"XTEN Stable Shot",8
20611,61,"SPW 40mm",8
20612,61,"Corvus Masterkey",8
20613,61,"Commando Foregrip",8
20614,61,"EXF Backdraft Grip",8
20615,61,"XTEN Nexus Grip",8
20616,61,"Core BP2",8
20617,61,"7.62 Frangible",11
20618,61,"7.62 Hollowpoint",11
20619,61,"7.62 Armor Piercing",11
20620,61,"7.62 Overpressured +P",11
20621,61,"7.62 High Velocity",11
20622,61,"7.62 Incendiary",11
20623,61,"14"" Chroma LRS",2
20624,61,"16"" Tour RP",2
20625,61,"24"" Outreach 4",2
20626,61,"12.5"" Rugged ZN",2
20628,61,"50 Round Drum",13
20629,61,"Ravage-8",6
20630,61,"Demo Fade Pro Stock",6
20950,65,"10 Round Mag",13
20951,65,"13 Round Mag",13
20952,64,"20 Round Mag",13
20953,64,"50 Round Drum",13
20631,61,"Demo Precision Elite Factory",6
20632,61,"Corio Precio Factory",6
20633,61,"Assault-60 Stock Factory",6
20634,61,"PSO Heavy",6
20635,61,"D15 Grip",16
20636,61,"Sakin ZX Grip",16
20637,61,"XTEN Grip",16
20638,61,"Phantom Grip",16
20639,61,"Support CP90 Grip",16
20640,61,"Torrent Tac Guard",9
20641,61,"TT-HG 40",9
20642,61,"Torrent MOC-IV",9
20308,57,"Wolfcall 300",1
20310,57,"SZ Mini",5
10930,16,"Cronen OP44",1
20431,59,"SZ Lonewolf Optic",5
20432,59,"Kazan-Holo",5
20433,59,"Corvus Downrange-00",5
20434,59,"SZ Holotherm",5
20435,59,"XTEN Angel-40",5
20436,59,"VLK 4.0 Optic",5
20437,59,"Schlager 3.4x",5
20438,59,"Forge Tac Delta 4",5
20439,59,"Cronen Zero-P Optic",5
20440,59,"SZ Bullseye Optic",5
20441,59,"SZ Aggressor-IR Optic",5
20442,59,"Schlager Night View",5
20443,59,"VX350 Thermal Optic",5
20444,59,"Teplo-OP3 Scope",5
20445,59,"DR582 Hybrid Sight",5
20446,59,"Hybrid Firepoint",5
20447,59,"SZ Vortex-90",5
20448,59,"BPZ40 Hybrid",5
20449,59,"Thermo-Optic X9",5
20450,59,"Teplo Clear Shot",5
20451,59,"FTAC Charlie7",5
20452,59,"HMW-20 Optic",5
20453,59,"Luca Bandera Scope",5
20454,59,"Drexsom Prime-90",5
20455,59,"Ares Clear Shot",5
20456,59,"DXS Coriolis V4",5
20457,59,"Lachmann Impact 9",5
20458,59,"SP-X 80 6.6x",5
20459,59,"FTAC Locus SP",5
20460,59,"Aim OP-V4",5
20461,59,"SZ Battle Optic",5
20463,59,"3x RFL-Optic",5
20464,59,"Edge-47 Grip",8
20465,59,"Demo Firm Grip",8
20466,59,"XTEN Gravedigger",8
20467,59,"FTAC Ripper 56",8
20468,59,"Demo Cleanshot 40",8
20469,59,"Demo IMP-44 Grip",8
20649,63,"Hipshot L20",4
20650,63,"Point-G3P 04",4
20470,59,"FTAC Tiger Grip",8
20471,59,"FSS Sharkfin 90",8
10932,19,"Cronen OP44",1
10933,20,"Cronen OP44",1
20472,59,"Agent Grip",8
20473,59,"Bruen Sync Shot Grip",8
20474,59,"XTEN Drop Grip",8
20476,59,"Merc Foregrip",8
20477,59,"Lockgrip Precision-40",8
20478,59,"Hex-40 Grip",8
20479,59,"Schlager Tango",8
20480,59,"VX Pineapple",8
20481,59,"OP-X9 Foregrip",8
20482,59,"Operator Foregrip",8
20248,56,"Cornerstone Bipod",8
20249,56,"XTEN Stable Shot",8
20250,56,"Corvus Masterkey",8
20251,56,"TL40 Fire Drake",8
20252,56,"Commando Foregrip",8
20253,56,"EXF Backdraft Grip",8
20254,56,"Core BP2",8
20255,56,"5.56 Frangible",11
20256,56,"5.56 Hollowpoint",11
20257,56,"5.56 Armor Piercing",11
20258,56,"5.56 Overpressured +P",11
20259,56,"5.56 High Velocity",11
20260,56,".300 Blk Frangible",11
20261,56,".300 Blk Hollowpoint",11
20262,56,".300 Blk Armor Piercing",11
20263,56,".300 Blk Overpressured +P",11
20264,56,".300 Blackout",11
20265,56,"RCQ-7",2
20266,56,"Series 4-MR",2
20267,56,"Cipher-121",2
20268,56,"LR-30/56",2
20486,59,"Bruen Warrior Grip",8
20487,59,"Bipod V9 Grip",8
20488,59,"Commando Foregrip",8
20489,59,"EXF Backdraft Grip",8
20490,59,"XTEN Nexus Grip",8
20491,59,"FT Apex 1.5",6
20492,59,"FT Dart CB",6
20493,59,"FTAC Piercer",6
20494,59,"Speedtrak Echo",6
20495,59,"Thunder 200 LB",18
20496,59,"Carbon Elite V3",18
20497,59,"SO Momenti",18
20498,59,"Quill XE 100 LB",18
20499,59,"Brightblaze 20"" Bolts",19
20501,59,"FTAC Caustic 20"" Bolts",19
20502,59,"28-Strand Cable",20
20503,59,"16-Strand Cable",20
20269,56,"Fielder-T50",2
20270,56,"45 Round Mag",13
20954,64,"72 Round Drum",13
20955,64,"Siege Wire Stock",6
20956,64,"Heist-LW",6
20651,63,"FJX Ultrabeam XR",4
20652,63,"EXF Solarflare",4
20271,56,"20 Round Mag",13
20272,56,"R-Com S4",6
20273,56,"Raid 90",6
10934,36,"Cronen OP44",1
10926,10,"Cronen OP44",1
20275,56,"Res-2",6
20276,56,"ISO Stockless Mod",6
20277,56,"Sakin ZX Grip",16
20278,56,"XTEN Grip",16
20279,56,"Phantom Grip",16
20280,56,"Support CP90 Grip",16
14011,1,".50 Pistol Overpressured +P",11
14014,3,".500 Hollowpoint",11
14015,3,".500 Overpressured +P",11
14016,3,".500 Snakeshot",11
14017,10,"14"" Carbine Shroud",2
14018,16,"14"" Carbine Shroud",2
14019,10,"7.5"" Tempus Firebrand",2
14020,29,"7.5"" Tempus Firebrand",2
14021,10,"Tempus Trench Pro",2
14022,29,"Tempus Trench Pro",2
14023,10,"419mm EXF Barrel",2
14024,29,"419mm EXF Barrel",2
14025,10,"Hightower 20"" Barrel",2
14026,10,"11.5"" T-H4 Barrel",2
14027,16,"11.5"" T-H4 Barrel",2
13926,24,"9mm Armor Piercing",11
14028,10,"11.5"" Carbine Shroud",2
14029,16,"11.5"" Carbine Shroud",2
14031,29,"Bull Rider 16.5""",2
14032,14,"FSS Cannonade 16""",2
14033,14,"FSS-X7 Barrel",2
14034,36,"FTAC Coldforge 16"" Barrel",2
14036,8,"12"" Tacshort Barrel",2
14038,28,"Lance-50 12"" Barrel",2
14643,46,"Bruen Agent 90 Silencer",1
14644,46,"Nilsound 90 Silencer",1
14645,46,"H26 Ported Comp",1
14646,46,"Legion Fire Comp",1
10761,10,"Silentfire XG6",1
10762,8,"Silentfire XG6",1
10763,35,"Silentfire XG6",1
10764,42,"Silentfire XG6",1
10702,6,"FJX DIOD-70",4
10703,1,"FJX DIOD-70",4
10765,16,"Silentfire XG6",1
10766,43,"Silentfire XG6",1
10767,19,"Silentfire XG6",1
10768,20,"Silentfire XG6",1
10769,36,"Silentfire XG6",1
14040,45,"15.5"" Theta-X13",2
20323,57,"SZ Lonewolf Optic",5
14041,45,"LR 1:7 20.5"" Barrel",2
20957,64,"FTAC Folder",6
20958,64,"FTAC Siege Stock",6
20959,65,"EXF Shoreline Grip",16
20653,63,"1mW Artemis Laser",4
20654,63,"AP-390 Flash Hider",1
14042,4,"KAS-10 584mm Barrel",2
14043,17,"KAS-10 584mm Barrel",2
14044,4,"KAS-7 406mm",2
14048,19,"IG-K30 406mm",2
14208,43,"20 Round Mag",13
14224,38,"15 Round Mag",13
20110,4,"FR Titan Silencer",1
14049,4,"Kastovia 343",2
14050,4,"342mm Sakin KL",2
14051,19,"342mm Sakin KL",2
14052,43,"SA Ultra III",2
14077,24,"L38 Falcon 226mm",2
20013,49,"Echoline GS-X",1
14080,42,"Bruen Turaco 686mm",2
14081,20,"Bruen Turaco 686mm",2
14082,42,"FTAC FB20 (Hornet 20"") Barrel",2
14083,20,"FTAC FB20 (Hornet 20"") Barrel",2
14084,42,"18"" Bruen Guerilla",2
14085,20,"18"" Bruen Guerilla",2
14086,42,"24.4"" Bruen S-620",2
14647,46,"Demon Helix XL",1
14648,46,"Bruen L40 Kobra",1
